,PPG_Rate
752,78.02495877480544
753,77.41935483870968
754,76.8425429715197
755,76.28060492802777
756,75.73249366157515
757,75.1972153398429
758,74.67382574868375
759,74.16142704254082
760,73.65916480782288
761,73.16622540924693
762,72.68183359233473
763,72.20525031802175
764,71.73577080776349
765,71.27272277964724
766,70.81546485787966
767,70.36338513965553
768,69.91589990485117
769,69.47245245525102
770,69.03251207113357
771,68.59557307402933
772,68.16115398533789
773,67.72879677126785
774,67.29806616525619
775,66.86854905964222
776,66.43985395892858
777,66.01161048746508
778,65.58346894484815
779,65.1550999027489
780,64.72619383726862
781,64.2964607912816
782,63.86563006156343
783,63.43344990582331
784,62.999687265066434
785,62.56412749700803
786,62.12657411654911
787,61.686848539605776
788,61.244789826862664
789,60.80025442429597
790,60.3531158975862
791,59.903264657813544
792,59.45060767610171
793,58.99506818514859
794,58.53658536585366
795,58.06482914986203
796,57.57090452701305
797,57.056893029691494
798,56.52483737413895
799,55.976730812588784
800,55.4145079268536
801,54.840036836783455
802,54.25511277515627
803,53.66145296275724
804,53.06069270352653
805,52.45438260947423
806,51.84398685826295
807,51.230882382578294
808,50.616358889248296
809,50.0016196071318
810,49.38778266567323
811,48.77588301034063
812,48.16687476657487
813,47.56163397006654
814,46.960961587866834
815,46.365586761792954
816,45.77617021260813
817,45.19330775038095
818,44.61753384313011
819,44.049325202241754
820,43.489104349139126
821,42.93724313323922
822,42.39406617632386
823,41.85985422307027
824,41.33484738163243
825,40.81924824184903
826,40.313224861899556
827,39.816913617058155
828,39.33042190663758
829,38.853830717301335
830,38.38719704268323
831,37.930556160723185
832,37.48392377133442
833,37.04729799799307
834,36.62066125761225
835,36.20398200365636
836,35.797216347891364
837,35.400309566475315
838,35.01319749628981
839,34.63580782751612
840,34.26806129848429
841,33.90987279878444
842,33.561152386538666
843,33.221806225599906
844,32.89173744828122
845,32.5708469490315
846,32.25903411426998
847,31.956197493377378
848,31.662235415620216
849,31.377046557562736
850,31.1005304652986
851,30.832588035618357
852,30.573121960017264
853,30.322037135246262
854,30.079241043916333
855,29.84464410848534
856,29.61816002178684
857,29.399706057103977
858,29.18920336064837
859,28.98657722917396
860,28.791757375340946
861,28.60467818334374
862,28.425278957230947
863,28.25350416427447
864,28.089303675689283
865,27.932633006965958
866,27.783453560054735
867,27.641732869633753
868,27.507444855705092
869,27.380570084792687
870,27.261096042064715
871,27.149017416773898
872,27.04433640350078
873,26.947063021801785
874,26.857215457005363
875,26.77482042507085
876,26.699913564625653
877,26.63253985953352
878,26.572754095620617
879,26.520621355504513
880,26.476217555836705
881,26.439630031690005
882,26.41095817330403
883,26.39031412095422
884,26.377823524341856
885,26.373626373626376
886,26.48259950428109
887,26.801601076440296
888,27.325172812946537
889,28.05532897334721
890,29.000781609241063
891,30.176683776653192
892,31.6047522720705
893,33.31367272038616
894,35.339693497069426
895,37.727278012705476
896,40.529590648469565
897,43.80840648286644
898,47.63270319603421
899,52.074635888784485
900,57.20072791808768
901,63.05492754280385
902,69.62899729837356
903,76.81570785576933
904,84.34442778783921
905,91.71191939622555
906,98.14702155478113
907,102.67618856738996
908,104.34782608695653
909,104.26666270819513
910,104.02798527316288
911,103.63999061701583
912,103.11199750295141
913,102.45421210551072
914,101.67749249579234
915,100.79312023926222
916,99.81258587964449
917,98.74739356309102
918,97.60888848886968
919,96.40810936875033
920,95.15566672243587
921,93.86164668694617
922,92.53553910240302
923,91.18618796028433
924,89.8217618498752
925,88.44974178887436
926,87.0769237423343
927,85.70943318506254
928,84.35274921177813
929,83.01173591524854
930,81.69067900831482
931,80.39332593915908
932,79.12292802341771
933,77.88228337949099
934,76.67377969637823
935,75.4994360816493
936,74.36094342844433
937,73.25970290433398
938,72.19686230251743
939,71.17335010914688
940,70.18990723203314
941,69.247116408353
942,68.34542936502484
943,67.48519184783312
944,66.66666666666667
945,65.86021798070973
946,65.03808888541056
947,64.20319711146556
948,63.35830198438319
949,62.50599893267012
950,61.64871641049805
951,60.788714963999084
952,59.928088169018196
953,59.068765173746954
954,58.21251459071825
955,57.360949497804405
956,56.51553332591128
957,55.677586430934085
958,54.848293168337726
959,54.02870930970091
960,53.2197696611369
961,52.422295763222195
962,51.63700357060547
963,50.86451102661332
964,50.105345463787394
965,49.3599507753217
966,48.628694314818986
967,47.9118734926946
968,47.209722046999254
969,46.522415974506266
970,45.8500791147232
971,45.19278838516098
972,44.55057867084399
973,43.92344737478986
974,43.31135863914004
975,42.71424724888821
976,42.13202223182994
977,41.56457016953435
978,41.01175823489545
979,40.47343697223103
980,39.94944283602134
981,39.439600504275354
982,38.94372498222516
983,38.46162351162167
984,37.993097300370124
985,37.53794308663312
986,37.095954550865144
987,36.6669235885469
988,36.25064145567632
989,35.84689979835981
990,35.455491577142084
991,35.07621189602523
992,34.70885874546265
993,34.35323366797768
994,34.00914235445183
995,33.6763951785572
996,33.35480767627342
997,33.04420097693122
998,32.74440219176358
999,32.455244765521265
1000,32.17656879632154
1001,31.90822132854632
1002,31.650056623288553
1003,31.401936410562744
1004,31.163730127244406
1005,30.935315144486193
1006,30.7165769881718
1007,30.507409555813698
1008,30.30771533317588
1009,30.117405613808977
1010,29.93640072462016
1011,29.76463026056737
1012,29.602033331563813
1013,29.44855882470799
1014,29.304165685015718
1015,29.168823217926715
1016,29.04251141699032
1017,28.92522132030586
1018,28.816955399505865
1019,28.717727985328544
1020,28.62756573413388
1021,28.546508140081382
1022,28.474608098111972
1023,28.411932523370982
1024,28.35856303328027
1025,28.314596699128025
1026,28.28014687480467
1027,28.255344111188773
1028,28.240337165693997
1029,28.235294117647058
1030,28.260977648749066
1031,28.336600517256056
1032,28.460381561929356
1033,28.63096675364464
1034,28.84737228995193
1035,29.10893713128871
1036,29.415282643709254
1037,29.766277431976008
1038,30.16200573844402
1039,30.602737977293604
1040,31.08890209133962
1041,31.62105447483388
1042,32.19984921139663
1043,32.826004340142546
1044,33.50026379292711
1045,34.22335354949794
1046,34.9959304449895
1047,35.81852194872556
1048,36.691455132876165
1049,37.61477298956108
1050,38.58813627054415
1051,39.61070916192697
1052,40.6810274289461
1053,41.79684825084618
1054,42.95498190628664
1055,44.15110687125797
1056,45.379571862154634
1057,46.63319098981605
1058,47.90304153604449
1059,49.178277887369795
1060,50.445979686858124
1061,51.69105691565044
1062,52.89623875106211
1063,54.04217573057718
1064,55.107684773211496
1065,56.0701626169764
1066,56.906183978441696
1067,57.592285486577225
1068,58.10591543556499
1069,58.42650432607995
1070,58.53658536585366
1071,58.510737666012695
1072,58.434208567252924
1073,58.30870529089441
1074,58.13616119736869
1075,57.918706717671434
1076,57.65863922633997
1077,57.35839252150709
1078,57.020506531613165
1079,56.64759780667818
1080,56.24233127886665
1081,55.80739369666865
1082,55.345469053399334
1083,54.85921624750268
1084,54.35124913239862
1085,53.82411903978126
1086,53.280299794149535
1087,52.72217517909619
1088,52.152028768083795
1089,51.572035994189626
1090,50.98425830428965
1091,50.39063922274755
1092,49.79300213703312
1093,49.19304961183095
1094,48.59236403807234
1095,47.99240942788059
1096,47.39453417465596
1097,46.79997460851331
1098,46.209859190186286
1099,45.62521320060654
1100,45.04696379804187
1101,44.4759453294348
1102,43.91290479702743
1103,43.35850739518831
1104,42.81334204535706
1105,42.27792686904515
1106,41.75271454979354
1107,41.23809754485099
1108,40.73441311610444
1109,40.24194815749341
1110,39.760943802828734
1111,39.29159980367708
1112,38.83407867184304
1113,38.38850958506219
1114,37.95499205789179
1115,37.53359938253358
1116,37.12438184652146
1117,36.72736973593118
1118,36.3425761340854
1119,35.96999952669997
1120,35.6096262251013
1121,35.26143261959115
1122,34.925387275290014
1123,34.6014528828915
1124,34.28958807674476
1125,33.98974913257881
1126,33.70189155701957
1127,33.42597158084966
1128,33.1619475677431
1129,32.90978134999028
1130,32.669439502527304
1131,32.440894566412744
1132,32.2241262327674
1133,32.01912249811877
1134,31.82588080208539
1135,31.644409158406326
1136,31.47472729048106
1137,31.316867782846135
1138,31.170877260391453
1139,31.03681760762572
1140,30.914767240954312
1141,30.80482244775407
1142,30.70709880704105
1143,30.621732707756045
1144,30.548882982171595
1145,30.488732673691317
1146,30.441490960413006
1147,30.407395258317138
1148,30.38671353088664
1149,30.379746835443036
1150,30.59035396760178
1151,31.206078550280026
1152,32.222774738935854
1153,33.65974720560226
1154,35.55844604550489
1155,37.98358733880422
1156,41.02612202785724
1157,44.807539631725874
1158,49.48453608247422
1159,55.25168950925283
1160,62.336551822424916
1161,70.97480832420594
1162,81.34080290104373
1163,93.39169424575638
1164,106.57894736842107
1165,119.45108213286002
1166,129.42264304471658
1167,133.33333333333334
1168,133.30579906394513
1169,133.22482207191086
1170,133.09292878712432
1171,132.91274711523732
1172,132.6869874730174
1173,132.4184244341546
1174,132.10987916108908
1175,131.7642027713354
1176,131.38426075953436
1177,130.97291856975912
1178,130.5330283870096
1179,130.06741719282988
1180,129.57887610793938
1181,129.07015102494518
1182,128.5439345167667
1183,128.00285899143213
1184,127.4494910514048
1185,126.88632700550366
1186,126.31578947368422
1187,125.53442533397697
1188,124.36028536114134
1189,122.83218748741801
1190,120.99296871352506
1191,118.88757459257135
1192,116.56132217643918
1193,114.05842145529319
1194,111.42080094510779
1195,108.68724810321812
1196,105.89284794654307
