unix time ms,samples
1760398679379,60013251
1760398679419,59905070
1760398679459,59839511
1760398679499,59771320
1760398679539,59667578
1760398679579,59523996
1760398679619,59326203
1760398679659,59677932
1760398679699,59848107
1760398679739,59936263
1760398679779,60015460
1760398679819,60030615
1760398679858,60120990
1760398679898,60202186
1760398679938,60164164
1760398679978,60160689
1760398680018,60072293
1760398680058,60040407
1760398680098,60074823
1760398680138,60085850
1760398680178,60097490
1760398680218,60081110
1760398680258,60078358
1760398680298,60060753
1760398680338,60057058
1760398680378,60074422
1760398680418,60088010
1760398680458,60108718
1760398680498,60138073
1760398680538,60145404
1760398680578,60142441
1760398680618,60127679
1760398680658,60138987
1760398680698,60153217
1760398680738,60170350
1760398680778,60223437
1760398680818,60251325
1760398680858,60378055
1760398680898,60461109
1760398680938,60505468
1760398680978,60510791
1760398681018,60519789
1760398681058,60528155
1760398681098,60512729
1760398681138,60501522
1760398681178,60476364
1760398681218,60425668
1760398681258,60401606
1760398681298,60308599
1760398681338,60357093
1760398681378,60535902
1760398681418,60827547
1760398681458,61084452
1760398681498,61291621
1760398681538,61477593
1760398681578,61564731
1760398681618,61680345
1760398681658,61716943
1760398681698,61659956
1760398681738,61537518
1760398681777,61368427
1760398681817,61257298
1760398681857,61026070
1760398681897,60691527
1760398681937,60570609
1760398681977,60560469
1760398682017,60584615
1760398682057,60540015
1760398682097,60458973
1760398682137,60631322
1760398682177,60787415
1760398682217,60892445
1760398682257,60920605
1760398682297,60910580
1760398682337,60991914
1760398682377,61143466
1760398682417,61381869
1760398682457,61807854
1760398682497,62198529
1760398682537,62414899
1760398682577,62509192
1760398682617,62442424
1760398682657,62199604
1760398682697,62357112
1760398682737,62108977
1760398682777,61965139
1760398682817,61893602
1760398682857,61793305
1760398682897,61518780
1760398682937,61132974
1760398682977,60963530
1760398683017,60988748
1760398683057,61063363
1760398683097,60904976
1760398683137,60769488
1760398683177,60687214
1760398683217,60737336
1760398683257,60681328
1760398683297,60579112
1760398683337,60614031
1760398683377,60489882
1760398683417,60564319
1760398683457,59945281
1760398683497,59550087
1760398683537,59745440
1760398683577,59112443
1760398683617,59114371
1760398683657,58882282
1760398683696,59405903
1760398683736,59346008
1760398683776,59578448
1760398683816,59949700
1760398683856,59838376
1760398683896,60939337
1760398683936,61448396
1760398683976,61707460
1760398684016,61838579
1760398684056,61659154
